-NqUWliDsTgSd_QNEFWNyA,wpQsmMvdhefqIlxvRt_Jbg,DonDon Izakaya,3.0,314,1,2018-11-15 03:21:35,HbWwwpGfdrKzwJBFe59dSw,1.0,1.0,"",Andy,1
-V0dYFxU0Q_iuHfFvsvoKQ,3xUoXuEgJhHlSgBsSfKeCQ,W Burger Bar,3.5,280,1,2010-01-14 02:49:33,Li83kZis-yplMm9_tAn7fw,3.0,3.0,"",Jon,7
-c5GC4tzYviafCuYbTUbMw,ggIWkJtgXHKnhdxRu338AQ,Crème Brasserie,4.0,61,0,2015-02-06 02:02:33,Kn7F2ypaJQnmbNLoQ9wRmg,1.0,1.0,"",Valerie,1
-luZ_BaYFzhL-LC3i9KvOw,8XVAcOZ02IGTQE-pvKhXXw,Plentea,4.5,87,1,2017-05-24 23:04:40,iYDDpMmlU2LST75Rc_351g,5.0,4.0,"",Jisu,2
-luZ_BaYFzhL-LC3i9KvOw,h51mRPqkuFVk8YN2nY4Img,Satay Sate,4.0,122,0,2017-06-26 20:53:48,0-Tt9yYYK2jzOKDMZMF-zg,3.0,4.0,"",Jisu,2
-pLAoSUadaHNexUOwFQbfA,Egn5h9fStvVKcFH7kaLQig,3030,3.0,104,1,2017-10-06 03:01:04,pAYYqTQL0ZTiuft243cGZw,2.0,2.2,"",Michael,4
-pLAoSUadaHNexUOwFQbfA,hcHaWzM5wfdAbCWs4zmmqg,Nodo Restaurant,4.0,168,1,2016-10-07 23:58:40,MFptqWtjQr3I_UBY_K85qQ,2.0,2.2,"",Michael,4
-tddkUwUW24rOaE33sx8aA,x6fYvse8sBOZf9y8BOZZmA,Mamakas Taverna,4.0,182,1,2019-07-17 02:51:58,d9Vxh23wkN5YAcZs67wcrg,5.0,5.0,"",Alex,4
-tddkUwUW24rOaE33sx8aA,_xJINZ8_Dtvi8r29qkXCCw,Estia,3.5,39,1,2019-03-11 04:26:59,9Z_ewWrO3wRkN3agjW1HhQ,5.0,5.0,"",Alex,4
-tddkUwUW24rOaE33sx8aA,yLZAThtPscqQ6XIvXftUMg,Anestis Taverna,4.0,54,1,2019-03-23 15:15:15,l8DnmT3djp0R_ZMBkkEIkA,5.0,5.0,"",Alex,4
-uRUVIczeeH3l3zOKHiXuw,fZDNuuFSnCtcXI3_RAFcSQ,Ozzy's Burgers,4.0,113,1,2018-04-24 04:16:42,EysMrxX_k6QRprDOIktZXg,5.0,4.18,"",Mauricio,55
0-jcuGYS96sfX1pPpCLoUQ,Grr2wJ3nYD_7qUyespDglA,Corrado's,4.5,197,0,2016-02-13 01:00:52,NNLAcBU0HyMrssskiN43IA,5.0,5.0,"",Melanie,1
0TXfjVbJWyll-83JEGQbFg,3qTSOuJ-ZyU1L7o62KHSIg,Gio Rana's Really Really Nice Restaurant,4.0,191,1,2018-10-29 12:48:57,NYwJ6RiueqTw9UN0N_NvKA,4.0,3.92,"",Sunday,13
0TXfjVbJWyll-83JEGQbFg,MUjlAtBNJR--7ai5pITbMg,Bar Mercurio,3.0,48,1,2018-11-27 15:39:38,nrj8VbTFnkQnL7_eAASokw,3.0,3.92,"",Sunday,13
0TXfjVbJWyll-83JEGQbFg,crstB-H5rOfbXhV8pX0e6g,Ramen Isshin,4.5,662,1,2019-06-25 20:24:45,73vJN9RLflTMH9ozy8IRGg,5.0,3.92,"",Sunday,13
0TXfjVbJWyll-83JEGQbFg,IUtjbbqQ6jUSi4t2jjgYRA,Fiorentina,4.0,87,1,2019-09-21 13:59:02,4MhgfqCN4g37fL9HsQSbRg,3.0,3.92,"",Sunday,13
0TXfjVbJWyll-83JEGQbFg,0DCywWMC2fsv6t6rnJRU9g,Shook,3.0,29,1,2019-07-26 01:55:30,Q1ksKsPtYa_SajDvmBwrfw,4.0,3.92,"",Sunday,13
0TXfjVbJWyll-83JEGQbFg,a911y0BuV1rjHXkXlFm3Ig,EAT BKK Thai Kitchen,3.5,262,1,2018-06-13 15:22:55,p4X_TRSkw0ermhEmBhZ2VQ,3.0,3.92,"",Sunday,13
